Dimensions,Activation,Total Memory Size (MB),NAU Loss @ 25epoch,Baseline Loss @ 25epoch,Loss Diff (NAU-Baseline) @ 25epoch,NAU Loss @ 50epoch,Baseline Loss @ 50epoch,Loss Diff (NAU-Baseline) @ 50epoch,NAU Loss @ 75epoch,Baseline Loss @ 75epoch,Loss Diff (NAU-Baseline) @ 75epoch,NAU Loss @ 100epoch,Baseline Loss @ 100epoch,Loss Diff (NAU-Baseline) @ 100epoch,NAU Loss @ 500epoch,Baseline Loss @ 500epoch,Loss Diff (NAU-Baseline) @ 500epoch,NAU Loss @ 1000epoch,Baseline Loss @ 1000epoch,Loss Diff (NAU-Baseline) @ 1000epoch,NAU Training Time @ 1000epoch (sec),Baseline Training Time @ 1000epoch (sec)
2->512->2->2->1,linear,0.272464,0.11081433296203613,0.13891610503196716,-0.02810177206993103,0.08607472479343414,0.09152831137180328,-0.005453586578369141,0.09002814441919327,0.0838896855711937,0.006138458847999573,0.09196561574935913,0.0838141217827797,0.008151493966579437,0.0969800278544426,0.08344961702823639,0.013530410826206207,0.08207347244024277,0.08455291390419006,-0.002479441463947296,45.60697889328003,25.64020299911499
2->512->4->4->1,linear,0.276648,0.10323455929756165,0.2105809450149536,-0.10734638571739197,0.08934581279754639,0.09841048717498779,-0.009064674377441406,0.0757436528801918,0.08694277703762054,-0.011199124157428741,0.08673793822526932,0.08417913317680359,0.0025588050484657288,0.09037824720144272,0.08458765596151352,0.005790591239929199,0.08455758541822433,0.084323450922966,0.0002341344952583313,48.86741304397583,28.203373193740845
2->512->8->8->1,linear,0.285112,0.13347512483596802,0.24852007627487183,-0.11504495143890381,0.09135229885578156,0.12075918167829514,-0.02940688282251358,0.09515691548585892,0.09119676053524017,0.003960154950618744,0.08742296695709229,0.08436435461044312,0.00305861234664917,0.08983766287565231,0.0841330736875534,0.0057045891880989075,0.09343743324279785,0.08365656435489655,0.009780868887901306,45.70965313911438,25.934162855148315
2->512->16->16->1,linear,0.302424,0.14182119071483612,0.11858297884464264,0.02323821187019348,0.08827061951160431,0.08740459382534027,0.0008660256862640381,0.09047219157218933,0.08451060205698013,0.005961589515209198,0.08850297331809998,0.08420977741479874,0.004293195903301239,0.10288430005311966,0.08411557972431183,0.01876872032880783,0.09418503940105438,0.08417990803718567,0.010005131363868713,50.999228954315186,26.353463172912598
2->512->32->32->1,linear,0.338584,0.16876471042633057,0.11127939075231552,0.057485319674015045,0.09271523356437683,0.08730179071426392,0.005413442850112915,0.10180898755788803,0.08376875519752502,0.018040232360363007,0.09840069711208344,0.08461707830429077,0.013783618807792664,0.11051453649997711,0.08334486931562424,0.027169667184352875,0.1109480932354927,0.08276686072349548,0.028181232511997223,58.38879895210266,28.157832860946655
2->512->64->64->1,linear,0.417048,0.17050182819366455,0.1302112340927124,0.04029059410095215,0.10257155448198318,0.09217898547649384,0.01039256900548935,0.10055534541606903,0.08425892889499664,0.016296416521072388,0.10982079803943634,0.08319738507270813,0.02662341296672821,0.11147525161504745,0.0840412974357605,0.027433954179286957,0.1024148166179657,0.08485280722379684,0.017562009394168854,69.7458119392395,30.895421981811523
2->512->128->128->1,linear,0.598552,0.24339590966701508,0.12218141555786133,0.12121449410915375,0.10072092711925507,0.08964011818170547,0.011080808937549591,0.09537415951490402,0.0847722738981247,0.010601885616779327,0.09949075430631638,0.08347021043300629,0.01602054387331009,0.11248748749494553,0.08389843255281448,0.028589054942131042,0.1118091568350792,0.08372212946414948,0.028087027370929718,101.37557983398438,36.84502696990967
2->512->256->256->1,linear,1.059864,0.21884475648403168,0.11449965834617615,0.10434509813785553,0.10258881747722626,0.08780545741319656,0.014783360064029694,0.08783654123544693,0.08399379253387451,0.003842748701572418,0.0870981365442276,0.08425841480493546,0.0028397217392921448,0.10951665043830872,0.0839814767241478,0.02553517371416092,0.11198332905769348,0.082954540848732,0.029028788208961487,191.86282086372375,57.28169107437134
2->512->512->512->1,linear,2.375704,0.16266806423664093,0.11732770502567291,0.04534035921096802,0.08530960232019424,0.08886085450649261,-0.0035512521862983704,0.09675779938697815,0.08359478414058685,0.013163015246391296,0.09748208522796631,0.08472862839698792,0.012753456830978394,0.10359017550945282,0.08385675400495529,0.019733421504497528,0.09896073490381241,0.08278916776180267,0.016171567142009735,420.0003478527069,86.11418008804321
2->512->1024->1024->1,linear,6.580248,0.17643633484840393,0.12125236541032791,0.05518396943807602,0.09823864698410034,0.08922518789768219,0.009013459086418152,0.09865822643041611,0.08378032594919205,0.01487790048122406,0.10322293639183044,0.08518804609775543,0.018034890294075012,0.1000380888581276,0.08399026095867157,0.016047827899456024,0.09422404319047928,0.08359333127737045,0.010630711913108826,1352.4005818367004,209.16478514671326
