Dimensions,Activation,Total Memory Size (MB),Final NAU Loss,Final Baseline Loss,Final NAU Reg Loss,NAU-Baseline,NAU Training Time (sec),Baseline Training Time (sec)
2->512->4->1,linear,0.276552,0.08711078017950058,0.08352948725223541,0.08622590452432632,0.0035812929272651672,89.34969282150269,89.56433200836182
2->512->8->1,linear,0.284792,0.09754928201436996,0.08470426499843597,0.09573531895875931,0.01284501701593399,88.44507169723511,88.67473673820496
2->512->16->1,linear,0.301272,0.10200002789497375,0.08495012670755386,0.12375620752573013,0.01704990118741989,91.91362404823303,88.20950388908386
2->512->32->1,linear,0.334232,0.10749675333499908,0.08383632451295853,0.10676630586385727,0.023660428822040558,98.68535017967224,91.78363013267517
2->512->64->1,linear,0.400152,0.11102940142154694,0.08436363935470581,0.10366532951593399,0.026665762066841125,105.76956796646118,98.60977911949158
2->512->128->1,linear,0.531992,0.10092858970165253,0.08437246084213257,0.10476214438676834,0.01655612885951996,133.3002429008484,114.6853859424591
2->512->256->1,linear,0.795672,0.10924740880727768,0.08596451580524445,0.1032857596874237,0.023282893002033234,170.50003099441528,146.99810791015625
2->512->512->1,linear,1.323032,0.09953203052282333,0.08445527404546738,0.10886348783969879,0.015076756477355957,257.43499207496643,205.4756669998169
2->512->1024->1,linear,2.377752,0.09457884728908539,0.08253928273916245,0.09914286434650421,0.012039564549922943,443.1341609954834,331.8587749004364
2->512->4->1,GELU,0.276572,0.02903396263718605,0.027600234374403954,0.03276938945055008,0.0014337282627820969,119.51239705085754,111.68028688430786
2->512->8->1,GELU,0.284828,0.02979409694671631,0.019195718690752983,0.03345098719000816,0.010598378255963326,122.37100791931152,112.80486464500427
2->512->16->1,GELU,0.30134,0.01114764902740717,0.015253226272761822,0.02801956608891487,-0.004105577245354652,123.20007991790771,117.00396609306335
2->512->32->1,GELU,0.334364,0.013696271926164627,0.013957583345472813,0.04395562410354614,-0.0002613114193081856,129.34902024269104,125.41914176940918
2->512->64->1,GELU,0.400412,0.01017496082931757,0.015431011095643044,0.011820996180176735,-0.005256050266325474,144.27593398094177,131.44645476341248
2->512->128->1,GELU,0.532508,0.020505685359239578,0.015256359241902828,0.017758741974830627,0.00524932611733675,161.97487497329712,147.46437096595764
2->512->256->1,GELU,0.7967,0.009223273023962975,0.015039928257465363,0.015777070075273514,-0.005816655233502388,212.75875687599182,185.72091913223267
2->512->512->1,GELU,1.325084,0.01162652112543583,0.015097031369805336,0.011128046549856663,-0.003470510244369507,297.3968560695648,251.559415102005
2->512->1024->1,GELU,2.381852,0.010380265302956104,0.014771759510040283,0.013835160061717033,-0.004391494207084179,468.19440388679504,390.62903118133545
2->512->4->1,ReLU,0.276572,0.049957435578107834,0.04636935889720917,0.3551923930644989,0.0035880766808986664,108.30438303947449,109.89720010757446
2->512->8->1,ReLU,0.284828,0.02160440757870674,0.04344423860311508,0.02079824171960354,-0.02183983102440834,112.39119696617126,112.79178595542908
2->512->16->1,ReLU,0.30134,0.01690012961626053,0.029094602912664413,0.031137512996792793,-0.012194473296403885,113.42177486419678,112.89443492889404
2->512->32->1,ReLU,0.334364,0.022237759083509445,0.02889198064804077,0.044329915195703506,-0.006654221564531326,118.92427897453308,115.95178031921387
2->512->64->1,ReLU,0.400412,0.023849165067076683,0.028066769242286682,0.029926368966698647,-0.004217604175209999,129.37507891654968,125.9817168712616
2->512->128->1,ReLU,0.532508,0.056046485900878906,0.03132851421833038,0.04122234135866165,0.024717971682548523,152.2224006652832,142.97152400016785
2->512->256->1,ReLU,0.7967,0.029471853747963905,0.03254203870892525,0.045654892921447754,-0.003070184960961342,198.71455216407776,173.90114998817444
2->512->512->1,ReLU,1.325084,0.02872709184885025,0.03089180216193199,0.05446788668632507,-0.0021647103130817413,279.70540022850037,233.0495958328247
2->512->1024->1,ReLU,2.381852,0.025122463703155518,0.032491471618413925,0.026690062135457993,-0.007369007915258408,425.0404851436615,363.9803500175476
2->512->4->1,Sigmoid,0.276572,0.06747347861528397,0.09844531863927841,0.07415978610515594,-0.030971840023994446,100.47151780128479,96.63711500167847
2->512->8->1,Sigmoid,0.284828,0.07180973887443542,0.08461719751358032,0.0697302296757698,-0.012807458639144897,101.54674005508423,96.5838668346405
2->512->16->1,Sigmoid,0.30134,0.08049552142620087,0.0852842926979065,0.0748022198677063,-0.0047887712717056274,104.51110124588013,100.08757996559143
2->512->32->1,Sigmoid,0.334364,0.07448343187570572,0.08251795172691345,0.07623334974050522,-0.008034519851207733,110.8357150554657,104.27546310424805
2->512->64->1,Sigmoid,0.400412,0.0761449933052063,0.08437150716781616,0.08031817525625229,-0.008226513862609863,122.72356295585632,111.91188907623291
2->512->128->1,Sigmoid,0.532508,0.0844937115907669,0.08326403796672821,0.08442693948745728,0.0012296736240386963,142.01567721366882,127.88761806488037
2->512->256->1,Sigmoid,0.7967,0.08403569459915161,0.08451719582080841,0.084401935338974,-0.0004815012216567993,194.31136512756348,164.9329960346222
2->512->512->1,Sigmoid,1.325084,0.07554619014263153,0.08259432017803192,0.08311410993337631,-0.007048130035400391,277.8664457798004,226.04679083824158
2->512->1024->1,Sigmoid,2.381852,0.08413078635931015,0.08376134932041168,0.0835769921541214,0.000369437038898468,410.13070702552795,369.1681547164917
2->512->4->1,ELU,0.276572,0.019340574741363525,0.023809140548110008,0.023206403478980064,-0.004468565806746483,103.29638886451721,98.00666880607605
2->512->8->1,ELU,0.284828,0.02593623287975788,0.020828522741794586,0.018086301162838936,0.005107710137963295,103.88966107368469,97.73426485061646
2->512->16->1,ELU,0.30134,0.01652625948190689,0.015733841806650162,0.01647697202861309,0.0007924176752567291,104.61316895484924,98.44728708267212
2->512->32->1,ELU,0.334364,0.030979128554463387,0.019964993000030518,0.021620899438858032,0.011014135554432869,112.7646312713623,103.93301391601562
2->512->64->1,ELU,0.400412,0.025051172822713852,0.019523773342370987,0.023588476702570915,0.005527399480342865,127.40951704978943,112.13493299484253
2->512->128->1,ELU,0.532508,0.025036372244358063,0.019796675071120262,0.03149101883172989,0.005239697173237801,145.2705352306366,130.083722114563
2->512->256->1,ELU,0.7967,0.026495354250073433,0.024171125143766403,0.025537339970469475,0.0023242291063070297,191.31429195404053,167.55008602142334
2->512->512->1,ELU,1.325084,0.030050113797187805,0.023293785750865936,0.026803268119692802,0.006756328046321869,282.9848687648773,227.1667172908783
2->512->1024->1,ELU,2.381852,0.023265231400728226,0.028459934517741203,0.022774334996938705,-0.005194703117012978,404.4517467021942,366.1703360080719
2->512->4->1,Tanh,0.276572,0.035862114280462265,0.03598731383681297,0.04386289417743683,-0.000125199556350708,109.32931303977966,101.81821393966675
2->512->8->1,Tanh,0.284828,0.023691227659583092,0.030119284987449646,0.021103838458657265,-0.006428057327866554,110.4292368888855,102.34893012046814
2->512->16->1,Tanh,0.30134,0.020040173083543777,0.025341231375932693,0.01938929408788681,-0.005301058292388916,112.24976205825806,105.65890383720398
2->512->32->1,Tanh,0.334364,0.022641876712441444,0.031925659626722336,0.0209067203104496,-0.009283782914280891,119.3922758102417,111.26127195358276
2->512->64->1,Tanh,0.400412,0.017361920326948166,0.044496871531009674,0.016751786693930626,-0.027134951204061508,133.78887176513672,121.26428294181824
2->512->128->1,Tanh,0.532508,0.020976737141609192,0.051547251641750336,0.0226829182356596,-0.030570514500141144,157.32911324501038,142.10432505607605
